K&A,DD,AoW,AoM,DV,WT,Cluster
0.003575840322475779,0.0,0.0052514643506362535,0.0003184037359371672,0.0004725491880745586,0.0,0
0.06956634809180157,0.0233755942947702,0.057227496128728204,0.0004245383145828896,0.05361285333791562,0.0,0
0.011117612638970167,0.02773375594294769,0.11869655961758567,0.01708766716196137,0.03608557436205859,0.0,0
0.00039009167154281654,0.0007923930269413404,0.001144549922574567,0.0007429420505200637,0.0004725491880745586,0.0,0
0.055718093752031725,0.026545166402535653,0.050898808321551206,0.011780938229675231,0.15753071569722485,0.0,0
0.019309537741369225,0.11291600633914421,0.032182050764155395,0.042559966036934835,0.06499699286880316,0.0,0
0.006826604251999213,0.003961965134706799,0.020871204470477356,0.0014858841010401205,0.01361800841996734,0.0,0
0.032767700409596257,0.005150554675118851,0.04187706187302229,0.030566758649968162,0.0021479508548844367,0.0,0
0.01813926272674079,0.08597464342313788,0.019995960412037994,0.0005306728932286189,0.020792164275281383,0.0036429872495446283,0
0.017619140498017043,0.08716323296354991,0.11209856594627347,0.008596900870303549,0.07539307500644385,0.0,0
0.006306482023275481,0.010697305863708387,0.13074799703763548,0.008596900870303549,0.11001804278718103,0.0,0
0.004030947272609067,0.0,0.0014138557867097723,0.0,0.0002147950854884395,0.0,1
0.0007151680644951613,0.0,0.0016831616508449498,0.0,0.00017183606839074606,0.0,1
6.501527859047174e-05,0.0,0.0035009762337575023,0.0,0.0006873442735630259,0.005464480874316939,1
0.00039009167154281654,0.0,0.00040395879620279407,0.0,0.0,0.0,1
0.028216630908263443,0.11648177496038034,0.1114253012859355,0.04860963701974103,0.05438611564567402,0.0,1
0.021064950263311878,0.06299524564183834,0.02504544536457283,0.004988325196348974,0.04845777128619297,0.0,1
0.14075807814836486,0.1489698890649762,0.1937655692452703,0.005943536404160479,0.23764928258441448,0.0018214936247723107,1
0.00013003055718094347,0.0,0.0,0.0014858841010401205,0.0,0.0,1
0.0022755347506664136,0.00633914421553089,0.0039049350299602964,0.0,0.009751696881175359,0.0,1
0.008191925102399078,0.022187004754358156,0.006934626001481203,0.008915304606240716,0.012930664146404328,0.0,1
0.04518561862037579,0.10499207606973059,0.06422944859624319,0.005094459774994696,0.16577884697998108,0.005464480874316939,1
0.00013003055718094347,0.0,0.0012792028546421835,0.0001061345786457224,0.00038663115387918556,0.0,0
0.003250763929523434,0.0011885895404120383,0.0016158351848111624,0.001592018679685843,0.0015465246155167978,0.0,0
0.00013003055718094347,0.0,0.0004712852622365954,0.0,0.00017183606839074606,0.0,0
0.0001950458357714152,0.0,0.0,0.0,0.00017183606839074606,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0001950458357714152,0.0003961965134706841,0.0023564263111829353,0.0028656336234345187,0.00012887705129306648,0.0,1
0.002470580586437829,0.0,0.004578199690298268,0.0002122691572914448,0.0005584672222699594,0.0,0
0.08295949548143813,0.02773375594294769,0.06624924257725712,0.0007429420505200637,0.07277257496348483,0.0,0
0.01001235290293219,0.03367670364500792,0.09984514912812227,0.015601783060921248,0.028052238164790785,0.0,0
0.0003250763929523587,0.0007923930269413404,0.0012118763886083683,0.0006368074718743413,0.000343672136781506,0.0,0
0.05246732982250829,0.024564183835182246,0.05049484952534842,0.011037996179155171,0.14266689578142452,0.0,0
0.0075417723164943745,0.0023771790808240767,0.02194842792701812,0.0012736149437486757,0.010052410000859172,0.0,0
0.038749106039919386,0.007131537242472258,0.05285127583653134,0.03905752494162598,0.0023197869232751966,0.0,0
0.011572719589103442,0.1089540412044374,0.027671177539890943,0.0003184037359371672,0.025259902053441016,0.06557377049180327,0
0.019504583577140633,0.09231378763866878,0.11095401602369892,0.010613457864572282,0.07844316522037975,0.0,0
0.005916390351732664,0.006735340729001574,0.1429340873897529,0.010825727021863726,0.12183177248904545,0.0,0
0.0053312528444184465,0.0,0.0039049350299602964,0.0,0.000429590170976879,0.0,1
0.0006501527859047035,0.0,0.001548508718777361,0.0,0.0,0.0,1
0.00013003055718094347,0.0,0.004914832020467247,0.0,0.00012887705129306648,0.0,1
0.00026006111436188695,0.0,6.732646603380132e-05,0.0,0.0,0.0,1
0.028086600351082507,0.098256735340729,0.1080589779842456,0.01995330078539588,0.05013317295300283,0.0,1
0.02301540862102594,0.06576862123613311,0.022958324917525086,0.015389513903629803,0.040553312140218234,0.0,1
0.13126584747415643,0.1580824088748019,0.18380125227226823,0.004669921460411806,0.244479766302947,0.0,1
